"Group1_key","estandards_key","irn","RecordType","StandardName","Module","StandardVersion","Status","Term","TermURI","FormatSpecifier","CollapseEmptyValues","RemoveDuplicateValues","NestedSeparator","TermFormatString","Field","DefinedTerm","Expr1017","RowInclusion","FormatSeparator","TypeOfWhere","WhereOperator","Script","WhereCondition"
108,76,659,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:coordinatePrecision","http://rs.tdwg.org/dwc/terms/coordinatePrecision","Script","Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLatitudeDec_tab",,,,,"Row Select","AND","sub
fieldFormat
{
    my $precision = """";

    my @prec = split(/\|/, $fields[0]);
    for (my $i = 0; $i < @prec; $i++)
    {
        my $len;
         if ($prec[$i] =~  (/\d+\.(\d+)/))
        {
                $len = length($1);
        }
        else
        {
            $len = ""0"";
        }
        $precision .= ($i ? ""|"" : """") . $len;
    }
    return($precision);
}","Equals"
109,77,157,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:coordinatePrecision","http://rs.tdwg.org/dwc/terms/coordinatePrecision","Script","Yes","Yes",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLatitudeDec_tab",,,,,"Row Select","AND","sub
fieldFormat
{
     if ($fields[0] =~  /[0-9]+\.([0-9]+)/)
    {
            return(length($1));
    }
    else
    {
            return(""0"");
    }
}","Equals"
110,78,660,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:coordinateUncertaintyInMeters","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters","Script","No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatRadiusNumeric_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my @numeric = ();
    my @unit = ();
    my $max = @fields;
    my $marker = chr(1);

    if ($max > 0 && $fields[0] ne """")
    {
        @numeric = split(/$marker/, $fields[0]);
    }
    if ($max > 1 && $fields[1] ne """")
    {
        @unit = split(/$marker/, $fields[1]);
    }
    $max = @numeric;
    if (@unit > $max)
    {
        $max = @unit;
    }
    my @values = ();
    for (my $i = 0; $i < $max; $i++)
    {
        my $uncert = """";

        if (defined($numeric[$i]))
        {
                $uncert .= $numeric[$i];
        }
        if (defined($unit[$i]))
        {
                $uncert .= $unit[$i];
        }
        if ($uncert ne """")
        {
                push(@values, $uncert);
        }
    }
    return(join(""|"", @values));
}","Equals"
112,79,158,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:coordinateUncertaintyInMeters","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters","String","No","No",,"%s%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatRadiusNumeric_tab",,,,,"Group Row Select","AND",,"Equals"
120,86,162,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:dataGeneralizations","http://rs.tdwg.org/dwc/terms/dataGeneralizations","String","Yes","Yes","|","%s","NotFisNotes0",,"All Rows","All Rows",,"Row Select",,,"Equals"
125,91,665,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:decimalLatitude","http://rs.tdwg.org/dwc/terms/decimalLatitude","String","Yes","Yes",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLatitudeDec_tab",,,,,"Row Select",,,"Equals"
126,92,167,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:decimalLatitude","http://rs.tdwg.org/dwc/terms/decimalLatitude","String","Yes","Yes",,"%s","ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatCentroidLatitudeDec_tab",,,,,"Row Select",,,"Equals"
128,94,170,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestAgeOrLowestStage","http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrStageFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
131,95,171,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestChronometricAge","http://rs.tdwg.org/chrono/terms/earliestChronometricAge","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.AbsFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
134,96,172,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestEonOrLowestEonothem","http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEonFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
137,97,173,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestEpochOrLowestSeries","http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEpochFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
140,98,174,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestEraOrLowestErathem","http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrEraFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
143,99,175,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:earliestPeriodOrLowestSystem","http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem","Script","Yes","Yes",,,"PalStrStratigraphyRef_tab.enhmstratigraphy.ChrPeriodFrom_tab",,,,,"Group Row Select","AND","sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1)
    {
        $value .= "" "" if ($value ne """");
        if ($fields[1] ne """")
        {
            $value .= $fields[1];
        }
        elsif ($max > 2)
        {
            $value .= $fields[2];
        }
    }
    return $value;
}","Equals"
153,103,177,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:fieldNotes","http://rs.tdwg.org/dwc/iri/fieldNotes","String","Yes","Yes","|","%s (%s)","ColCollectionEventRef.ecollectionevents.NteText0",,"All Rows","All Rows",,"Group Row Select","AND",,"Equals"
159,105,179,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:formation","http://rs.tdwg.org/dwc/terms/formation","Script","Yes","Yes","|",,"PalStrStratigraphyRef_tab.enhmstratigraphy.LitFormationFrom_tab",,"All Rows","All Rows",,"Group Row Select",,"sub
fieldFormat
{
    my $max = @fields;
    my $value = """";
   
    if ($max > 0)
    {
        $value .= $fields[0];
    }
    if ($max > 1 && $fields[1] ne """")
    {
         $value .= ""-"" if ($value ne """");
         $value .= $fields[1];
    }
    if ($max > 2 && ($fields[2] ne """" || $fields[3] ne """"))
    {
        $value .= ""|"" if ($value ne """");
        if ($fields[2] ne """")
        {
            $value .= $fields[2];
        }
        elsif ($max > 3)
        {
            $value .= $fields[3];
        }
    }
    return $value;
}","Equals"
164,107,811,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:geodeticDatum","http://rs.tdwg.org/dwc/iri/geodeticDatum",,"No","No",,,"ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDatum_tab",,"First Row","First Row",,"Row Select","AND",,"Equals"
165,108,29,"Term Definition","Darwin Core","ecatalogue","2022-11-08","Active","dwc:geodeticDatum","http://rs.tdwg.org/dwc/iri/geodeticDatum",,"No","No",,,"ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDatum_tab",,"First Row","First Row",,"Row Select","AND",,"Equals"
166,109,813,"Term Definition","Darwin Core (Audubon)","emultimedia","2022-11-08","Active","dwc:georeferencedBy","http://rs.tdwg.org/dwc/terms/georeferencedBy","String","Yes","Yes","|","%s","ecatalogue:MulMultiMediaRef_tab.ColCollectionEventRef.ecollectionevents.ColSiteRef.esites.LatDeterminedByRef_tab.eparties.SummaryData",,"All Rows","All Rows",,"Boolean",,,"Equals"
